,YYYY,State,COUNTY,FIPS_State,FIPS_County,FIPS_Combined,SubstanceName,DrugReports,TotalDrugReportsCounty,TotalDrugReportsState
3559,2017,PA,ADAMS,42,1,42001,Methoxyacetyl fentanyl,2,399,68751
3560,2017,PA,ADAMS,42,1,42001,Tramadol,1,399,68751
3561,2017,PA,ALLEGHENY,42,3,42003,Butyryl fentanyl,55,8247,68751
3562,2017,PA,ARMSTRONG,42,5,42005,Butyryl fentanyl,1,149,68751
3563,2017,PA,ARMSTRONG,42,5,42005,Methadone,1,149,68751
3564,2017,PA,BEAVER,42,7,42007,Carfentanil,5,624,68751
3565,2017,PA,BEDFORD,42,9,42009,Furanyl fentanyl,2,188,68751
3566,2017,PA,BLAIR,42,13,42013,Codeine,1,476,68751
3567,2017,PA,BLAIR,42,13,42013,Hydromorphone,3,476,68751
3568,2017,PA,BRADFORD,42,15,42015,Heroin,7,118,68751
3582,2017,PA,ADAMS,42,1,42001,Furanyl fentanyl,2,399,68751
3583,2017,PA,ADAMS,42,1,42001,Methadone,1,399,68751
3584,2017,PA,ALLEGHENY,42,3,42003,4-Fluoroisobutyryl fentanyl,149,8247,68751
3585,2017,PA,ALLEGHENY,42,3,42003,Methoxyacetyl fentanyl,58,8247,68751
3586,2017,PA,ALLEGHENY,42,3,42003,Oxycodone,167,8247,68751
3587,2017,PA,ALLEGHENY,42,3,42003,Oxymorphone,14,8247,68751
3588,2017,PA,ARMSTRONG,42,5,42005,3-Methylfentanyl,1,149,68751
3589,2017,PA,ARMSTRONG,42,5,42005,Buprenorphine,7,149,68751
3590,2017,PA,BEAVER,42,7,42007,Fentanyl,99,624,68751
3591,2017,PA,BEAVER,42,7,42007,U-47700,1,624,68751
3592,2017,PA,BEDFORD,42,9,42009,Oxycodone,2,188,68751
3593,2017,PA,BERKS,42,11,42011,Carfentanil,2,2461,68751
3618,2017,PA,ADAMS,42,1,42001,Buprenorphine,11,399,68751
3619,2017,PA,ALLEGHENY,42,3,42003,Codeine,9,8247,68751
3620,2017,PA,ALLEGHENY,42,3,42003,Furanyl fentanyl,113,8247,68751
3621,2017,PA,ALLEGHENY,42,3,42003,Phenyl fentanyl,9,8247,68751
3622,2017,PA,ARMSTRONG,42,5,42005,Fentanyl,26,149,68751
3623,2017,PA,ARMSTRONG,42,5,42005,Furanyl fentanyl,5,149,68751
3624,2017,PA,ARMSTRONG,42,5,42005,Oxycodone,3,149,68751
3625,2017,PA,BEAVER,42,7,42007,Buprenorphine,11,624,68751
3626,2017,PA,BEAVER,42,7,42007,Furanyl fentanyl,6,624,68751
3627,2017,PA,BEAVER,42,7,42007,Propoxyphene,1,624,68751
